GivenName,Surname,StreetAddress,TelephoneNumber
Rosalind,Williams,"2691 Blanshard",250-889-0088
Glenda,Johnson,"375 Scotts Lane",250-733-0077
Brad,Bolden,"4490 Charing Cross Rd",519-437-8249
Kenneth,Martin,"1963 Dundas St",416-733-1103
James,Pitts,"2463 Fallon Drive",519-523-4065
Joshua,Hendrix,"2318 Derry Rd",416-675-5351
Shannon,Merrick,"4513 rue St-Henri",450-444-9379
Sarah,Casey,"2266 Heritage Drive",403-880-5882
Gwendolyn,Twyman,"4949 Pearl Street",905-826-1985
Mattie,Tucker,"2384 Thurston Dr",613-683-2100
Johnny,Meza,"2780 Nelson Street",807-934-0186
Brian,Martin,"2396 Eglinton Avenue",416-902-7231
Samantha,Williams,"3386 Fourth Avenue",403-614-2361
Eleanor,Willmon,"3039 Pape Ave",416-885-6085
Pete,Hamby,"30 Heritage Drive",403-801-9151
Amanda,Fortune,"3752 Tolmie St",604-225-8670
Mark,Porter,"3381 chemin Hudson",514-377-1722
Jose,Rosenzweig,"400 Heatherleigh",905-803-2108
Leslie,Flynn,"4053 Merton Street",416-526-5023
Marilyn,Patel,"4567 Pine Street",403-882-6144
Leola,Wilson,"4397 Côte Joyeuse",819-465-2413
Sonia,Myers,"500 Water Street",519-578-1569
David,Krueger,"1976 MacLaren Street",613-223-2825
Kelly,Martinez,"2850 Leslie Street",905-967-2901
Earl,Huffman,"3694 rue Levy",514-774-4529
Barbara,Crist,"4199 Northumberland Street",519-855-8568
Robert,Partin,"397 Harvest Moon Dr",905-946-0797
Clarence,Roach,"1196 Blanshard",250-888-1961
Larry,Moore,"337 Bank St",613-808-0012
Gary,Labrie,"3748 Heritage Drive",403-816-2233
David,Winchester,"1447 Tchesinkut Lake Rd",250-695-1706
Shane,Lamb,"1139 Dry Pine Bay Rd",705-867-7967
Roberta,Reed,"3270 Eglinton Avenue",416-568-5140
John,Ballew,"1152 Manitoba Street",705-380-2274
Rachele,Martin,"997 Weir Crescent",647-888-3969
Virginia,Cornish,"3684 102nd Avenue",250-787-5081
Nancy,McAfee,"491 Lyons Avenue",519-909-1411
Joyce,Prater,"1573 49th Avenue",867-939-0004
Linda,Davis,"4216 Halsey Avenue",416-381-3899
Terry,Gutierrez,"4046 René-Lévesque Blvd",514-691-4765
Matthew,Stevens,"2546 184th Street",780-465-6644
Garry,Johnston,"3965 Adelaide St",416-203-0553
Adeline,Key,"244 Pape Ave",416-873-3998
James,Jenkins,"2369 Alaska Hwy",250-778-9201
Kristopher,Poulin,"2455 Lillooet Street",306-763-6271
Charley,Smothers,"3297 Papineau Avenue",514-402-2734
Maurice,Dean,"3295 rue Garneau",418-658-1532
Ernest,Williams,"4528 Gateway Blvd",780-430-4901
Sherri,Martinez,"2651 avenue Royale",418-997-8641
Carol,Johnson,"1344 11th Ave",403-269-1995
William,McNally,"24 St. John Street",306-688-7027
Lisa,Monge,"1367 Heatherleigh",905-896-5492
Monika,Lee,"853 Kelvin Road",902-887-0681
Marcus,Nadeau,"3072 102nd Avenue",250-358-6132
Karla,Cole,"4300 St. John Street",306-937-1417
Thomas,Haskell,"166 De la Providence Avenue",819-319-1028
Norma,Fitzgerald,"351 Albert Street",306-855-1818
Lydia,Robles,"4684 Hastings Street",604-767-5900
Lenora,Cassella,"2653 11th Ave",403-508-9289
James,Estrada,"4191 Bayfield St",705-526-1839
Eva,Anderson,"2573 Alaska Hwy",250-776-4783
Peggy,Viera,"1594 Main St",306-482-9495
Kathryn,Keith,"4812 Eglinton Avenue",416-545-8346
Charles,Tu,"3706 James Street",604-830-5823
Patricia,Farrell,"1817 Kinchant St",250-376-6479
Sue,Hale,"4534 Hammarskjold Dr",604-291-6820
Eunice,Burton,"4478 rue des Églises Est",450-297-5681
Felix,Baron,"4920 Dry Pine Bay Rd",705-983-0689
Rebecca,Bauer,"864 Nootka Street",778-228-6659
Philip,Dixon,"2109 Brand Road",306-966-9187
William,Auguste,"219 Quayside Dr",778-388-2655
James,Mobley,"2360 11th Ave",403-303-1781
Dorthy,Brown,"925 rue Parc",819-432-1755
Helen,Plummer,"4825 Water Street",519-465-9784
Hung,Larson,"32 Dromore Road",902-894-2541
Tina,Wade,"2393 47th Avenue",867-995-2935
Clyde,Vazquez,"2106 49th Avenue",867-645-7543
Joseph,Wolfe,"4440 Pitt St",613-362-6047
Charlotte,Hall,"2120 Mountain Rd",506-871-9797
Evelyn,Morris,"765 184th Street",780-719-5629
Wanda,Paulsen,"1617 9th Ave",403-317-7054
Charlotte,Powell,"1675 Brand Road",306-384-2936
Angel,Davis,"3240 Churchill Plaza",705-971-1683
Jennifer,Holloway,"1497 Fourth Avenue",403-689-6844
Wendell,Thompson,"1902 Rue De La Gare",418-748-1091
